post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_manufacture,attribute_data:pa_manufacture,attribute_default:pa_manufacture
,,products list items product-items,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=1,,,,,,,,,,,,,,,,,,,,
,,products list items product-items,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=1,,,,,,,,,,,,,,,,,,,,
Q1251-60146 - HP 160GB SATA Printer Hard Drive for DesignJet 5500,Q1251-60146 - HP 160GB SATA Printer Hard Drive for DesignJet 5500,products list items product-items,13,,,,,,,,,,,,,,,$321.43,$ 385.72,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/q1251-60146-hp-printer-hard-drive.html,,https://harddiskdirect.com/media/catalog/product/cache/5367df8c884cca8afc5edb8f82409a1a/q/1/q1251-60146-q1251-60146.jpg,,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=2,,,,,,,,,,,,,,,,,,Mfr Part#: Q1251-60146,MFR: HP,
CE502-67918 - HP 250GB Hard Drive for LaserJet M4555 MFP Series Printer,CE502-67918 - HP 250GB Hard Drive for LaserJet M4555 MFP Series Printer,products list items product-items,14,,,,,,,,,,,,,,,$349.14,$ 418.97,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/ce502-67918-hp-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=2,,,,,,,,,,,,,,,,,,Mfr Part#: CE502-67918,MFR: HP,
Q6719-67010 - HP 320GB Hard Drive for DesignJet Z3200 Printer,Q6719-67010 - HP 320GB Hard Drive for DesignJet Z3200 Printer,products list items product-items,15,,,,,,,,,,,,,,,$311.29,$ 373.55,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/q6719-67010-hp-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=2,,,,,,,,,,,,,,,,,,Mfr Part#: Q6719-67010,MFR: HP,
CE98867911 - HP 250GB Hard Drive for LaserJet M4555F and M603 Printer,CE98867911 - HP 250GB Hard Drive for LaserJet M4555F and M603 Printer,products list items product-items,16,,,,,,,,,,,,,,,$450.00,$ 540.00,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/ce98867911-hp-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=2,,,,,,,,,,,,,,,,,,Mfr Part#: CE98867911,MFR: HP,
CE988-67911 - HP 250GB Hard Drive for LaserJet M4555F and M603 Printer,CE988-67911 - HP 250GB Hard Drive for LaserJet M4555F and M603 Printer,products list items product-items,17,,,,,,,,,,,,,,,$450.00,$ 540.00,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/ce988-67911-hp-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=2,,,,,,,,,,,,,,,,,,Mfr Part#: CE988-67911,MFR: HP,
Q1252-69017 - HP 80GB Hard Drive for DesignJet 5500 Series Printer,Q1252-69017 - HP 80GB Hard Drive for DesignJet 5500 Series Printer,products list items product-items,18,,,,,,,,,,,,,,,$485.62,$ 582.74,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/q1252-69017-hp-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=2,,,,,,,,,,,,,,,,,,Mfr Part#: Q1252-69017,MFR: HP,
C6074-69281 - HP 7.5GB ATA/IDE Printer Hard Drive for DesignJet 1050 Printer,C6074-69281 - HP 7.5GB ATA/IDE Printer Hard Drive for DesignJet 1050 Printer,products list items product-items,19,,,,,,,,,,,,,,,$325.86,$ 391.03,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/c6074-69281-hp-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=2,,,,,,,,,,,,,,,,,,Mfr Part#: C6074-69281,MFR: HP,
Q1251-60323 - HP 320GB SATA Hard Drive for DesignJet 5500 Printer,Q1251-60323 - HP 320GB SATA Hard Drive for DesignJet 5500 Printer,products list items product-items,20,,,,,,,,,,,,,,,$192.89,$ 231.47,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/q1251-60323-hp-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=2,,,,,,,,,,,,,,,,,,Mfr Part#: Q1251-60323,MFR: HP,
Q1252-60054 - HP 160GB SATA Printer Hard Drive for DesignJet 5500,Q1252-60054 - HP 160GB SATA Printer Hard Drive for DesignJet 5500,products list items product-items,21,,,,,,,,,,,,,,,$234.00,$ 280.80,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/q1252-60054-hp-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=2,,,,,,,,,,,,,,,,,,Mfr Part#: Q1252-60054,MFR: HP,
L2717-60012 - HP 250GB SATA Hard Drive for ScanJet Enterprise 8500 fn1,L2717-60012 - HP 250GB SATA Hard Drive for ScanJet Enterprise 8500 fn1,products list items product-items,22,,,,,,,,,,,,,,,$210.19,$ 252.23,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/l2717-60012-hp-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=2,,,,,,,,,,,,,,,,,,Mfr Part#: L2717-60012,MFR: HP,
,,products list items product-items,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=2,,,,,,,,,,,,,,,,,,,,
,,products list items product-items,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=2,,,,,,,,,,,,,,,,,,,,
J8018-61021 - HP 120GB Hard Drive for Printer,J8018-61021 - HP 120GB Hard Drive for Printer,products list items product-items,25,,,,,,,,,,,,,,,$163.05,$ 195.66,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/j8018-61021-hp-printer-hard-drive.html,,https://harddiskdirect.com/media/catalog/product/cache/5367df8c884cca8afc5edb8f82409a1a/j/8/j8018-61021-j8018-61021.jpg,,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=3,,,,,,,,,,,,,,,,,,Mfr Part#: J8018-61021,MFR: HP,
Q751767915R - HP 80GB SATA 2.5-inch Hard Drive for 4730 Multifunction Printer,Q751767915R - HP 80GB SATA 2.5-inch Hard Drive for 4730 Multifunction Printer,products list items product-items,26,,,,,,,,,,,,,,,$313.39,$ 376.07,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/q751767915r-hp-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=3,,,,,,,,,,,,,,,,,,Mfr Part#: Q751767915R,MFR: HP,
C4724-60021 - HP 4.3GB Hard Drive for DesignJet 2500CP,C4724-60021 - HP 4.3GB Hard Drive for DesignJet 2500CP,products list items product-items,27,,,,,,,,,,,,,,,$182.47,$ 218.96,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/c4724-60021-hp-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=3,,,,,,,,,,,,,,,,,,Mfr Part#: C4724-60021,MFR: HP,
CF235-67901 - HP 320GB Hard Drive for LaserJet Enterprise 700 M712,CF235-67901 - HP 320GB Hard Drive for LaserJet Enterprise 700 M712,products list items product-items,28,,,,,,,,,,,,,,,$225.00,$ 270.00,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/cf235-67901-hp-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=3,,,,,,,,,,,,,,,,,,Mfr Part#: CF235-67901,MFR: HP,
CF066-67904 - HP 320GB Hard Drive for LaserJet Enterprise MFP M725 Printer,CF066-67904 - HP 320GB Hard Drive for LaserJet Enterprise MFP M725 Printer,products list items product-items,29,,,,,,,,,,,,,,,$233.65,$ 280.38,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/cf066-67904-hp-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=3,,,,,,,,,,,,,,,,,,Mfr Part#: CF066-67904,MFR: HP,
C6075-60005 - HP 3.2GB Hard Drive for DesignJet Printer,C6075-60005 - HP 3.2GB Hard Drive for DesignJet Printer,products list items product-items,30,,,,,,,,,,,,,,,$198.00,$ 237.60,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/c6075-60005-hp-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=3,,,,,,,,,,,,,,,,,,Mfr Part#: C6075-60005,MFR: HP,
Q3938-67976 - HP 80GB SATA 3.5-inch Hard Drive for LaserJet CM6030 and CM6040 Multifunction Printer,Q3938-67976 - HP 80GB SATA 3.5-inch Hard Drive for LaserJet CM6030 and CM6040 Multifunction Printer,products list items product-items,31,,,,,,,,,,,,,,,$195.93,$ 235.12,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/q3938-67976-hp-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=3,,,,,,,,,,,,,,,,,,Mfr Part#: Q3938-67976,MFR: HP,
J6073-80012 - HP 80GB ATA/IDE 2.5-inch Hard Drive for Color LaserJet Printer,J6073-80012 - HP 80GB ATA/IDE 2.5-inch Hard Drive for Color LaserJet Printer,products list items product-items,32,,,,,,,,,,,,,,,$99.99,$ 119.99,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/j6073-80012-hp-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=3,,,,,,,,,,,,,,,,,,Mfr Part#: J6073-80012,MFR: HP,
Q7517-67915 - HP 80GB SATA 2.5-inch Hard Drive for 4730 Multifunction Printer,Q7517-67915 - HP 80GB SATA 2.5-inch Hard Drive for 4730 Multifunction Printer,products list items product-items,33,,,,,,,,,,,,,,,$313.39,$ 376.07,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/q7517-67915-hp-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=3,,,,,,,,,,,,,,,,,,Mfr Part#: Q7517-67915,MFR: HP,
C2986-63050 - HP 3.2GB 4200RPM ATA-33 2.5-inch Hard Drive for Color LaserJet 8500 Series Printer,C2986-63050 - HP 3.2GB 4200RPM ATA-33 2.5-inch Hard Drive for Color LaserJet 8500 Series Printer,products list items product-items,34,,,,,,,,,,,,,,,$56.34,$ 67.61,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/c2986-63050-hp-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=3,,,,,,,,,,,,,,,,,,Mfr Part#: C2986-63050,MFR: HP,
,,products list items product-items,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=3,,,,,,,,,,,,,,,,,,,,
,,products list items product-items,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=3,,,,,,,,,,,,,,,,,,,,
C2986-67901 - HP 3.2GB ATA/IDE 2.5-inch Hard Drive for Color LaserJet 8500 Series Printer,C2986-67901 - HP 3.2GB ATA/IDE 2.5-inch Hard Drive for Color LaserJet 8500 Series Printer,products list items product-items,37,,,,,,,,,,,,,,,$55.85,$ 67.02,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/c2986-67901-hp-printer-hard-drive.html,,https://harddiskdirect.com/media/catalog/product/cache/5367df8c884cca8afc5edb8f82409a1a/c/2/c2986-67901-c2986-67901.jpg,,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=4,,,,,,,,,,,,,,,,,,Mfr Part#: C2986-67901,MFR: HP,
C2986-61005 - HP 3.2GB ATA/IDE 2.5-inch Hard Drive for Color LaserJet 8500 Series Printer,C2986-61005 - HP 3.2GB ATA/IDE 2.5-inch Hard Drive for Color LaserJet 8500 Series Printer,products list items product-items,38,,,,,,,,,,,,,,,$55.85,$ 67.02,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/c2986-61005-hp-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=4,,,,,,,,,,,,,,,,,,Mfr Part#: C2986-61005,MFR: HP,
C2986-61004 - HP 3.2GB ATA/IDE 2.5-inch Hard Drive for Color LaserJet 8500 Series Printer,C2986-61004 - HP 3.2GB ATA/IDE 2.5-inch Hard Drive for Color LaserJet 8500 Series Printer,products list items product-items,39,,,,,,,,,,,,,,,$55.85,$ 67.02,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/c2986-61004-hp-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=4,,,,,,,,,,,,,,,,,,Mfr Part#: C2986-61004,MFR: HP,
C2986-61003 - HP 5GB ATA/IDE 2.5-inch Hard Drive for Color LaserJet 8500 Series Printer,C2986-61003 - HP 5GB ATA/IDE 2.5-inch Hard Drive for Color LaserJet 8500 Series Printer,products list items product-items,40,,,,,,,,,,,,,,,$55.85,$ 67.02,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/c2986-61003-hp-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=4,,,,,,,,,,,,,,,,,,Mfr Part#: C2986-61003,MFR: HP,
